epoch,layer_index,layer_name,parameter_scope,mean_pre_update_norm,mean_update_norm,mean_ratio,rms_ratio,maximum_ratio,last_ratio,near_zero_denominator_steps,optimizer_steps,epsilon
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4369339547900351,0.011415644071870413,0.0079419948492293023,0.0080355609807636064,0.010003877601560627,0.0062072847691018208,0,6,9.9999999999999998e-13
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4369182557951425,0.011181694939002701,0.0077792869868425988,0.0078720985972941838,0.0098096092640928764,0.006069670133308485,0,6,9.9999999999999998e-13
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.0056363026795337541,0.0022979880518319853,471404516.08971554,1154700526.0121689,2828427094.4531479,0.17083323201796285,1,6,9.9999999999999998e-13
1,4,"DenseLayer( 7202,1024 )","all",42.561058239495857,1.538994054808601,0.036210939484953533,0.03908035917846963,0.064072507747134536,0.020962113360695273,0,6,9.9999999999999998e-13
1,4,"DenseLayer( 7202,1024 )","weights",42.561027640478542,1.5388878357080098,0.036208459283620591,0.039077675953107134,0.064068049498637689,0.020960708436331667,0,6,9.9999999999999998e-13
1,4,"DenseLayer( 7202,1024 )","biases",0.044954525459821627,0.018080260603803685,5333257784.7803698,13063760238.753071,31999546707.004368,0.14125979727361412,1,6,9.9999999999999998e-13
1,6,"DenseLayer( 1024,512 )","all",26.152390225700287,0.42058242415883046,0.016084550868938084,0.017234040266813893,0.027711547919691541,0.0095530777101325518,0,6,9.9999999999999998e-13
1,6,"DenseLayer( 1024,512 )","weights",26.152366969445705,0.42039037330978957,0.016077216724202623,0.017226055038867868,0.027698020751943705,0.0095490150117839047,0,6,9.9999999999999998e-13
1,6,"DenseLayer( 1024,512 )","biases",0.030763730980530833,0.012705151450501696,3771204075.9901085,9237525701.3858662,22627224454.240662,0.14482378096588258,1,6,9.9999999999999998e-13
1,8,"DenseLayer( 512,256 )","all",18.427385718773927,0.20806182633342518,0.011291163602099754,0.012136331568244575,0.019665053995858658,0.0066760518199770616,0,6,9.9999999999999998e-13
1,8,"DenseLayer( 512,256 )","weights",18.427371075032763,0.20788051398477683,0.011281330693892883,0.012125484495746993,0.019645871614781756,0.0066707577082976196,0,6,9.9999999999999998e-13
1,8,"DenseLayer( 512,256 )","biases",0.020494259708622353,0.0086776945165479014,2666652981.124455,6531939124.1322269,15999917885.046026,0.14435680918611946,1,6,9.9999999999999998e-13
1,10,"DenseLayer( 256,128 )","all",13.060911737512345,0.097385462699815087,0.0074558088393879111,0.0082092107602345244,0.013883451003985511,0.0039650711152523568,0,6,9.9999999999999998e-13
1,10,"DenseLayer( 256,128 )","weights",13.060905817848498,0.097248550206317161,0.007445329537033132,0.0081965049315632071,0.013856408949527789,0.003961031486553389,0,6,9.9999999999999998e-13
1,10,"DenseLayer( 256,128 )","biases",0.011100850227706165,0.0051203685642574612,1885614624.7772119,4618793681.5749216,11313687747.049522,0.13404029073980067,1,6,9.9999999999999998e-13
